ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount,data_date
000005.SZ,1991-01-09,17.67,17.67,17.67,17.67,17.85,-0.18,-1.01,29.0,256.0,2023-08-01
600601.SH,1991-01-09,252.3,252.3,252.3,252.3,251.0,1.3,0.52,88.0,88.0,2023-08-01
600656.SH,1991-01-10,3.15,3.15,3.15,3.15,3.13,0.02,0.64,20.0,6.0,2023-08-01
600651.SH,1991-01-10,421.9,421.9,417.7,417.7,419.8,-2.1,-0.5,134.0,0.268,2023-08-01
600602.SH,1991-01-10,525.7,525.7,525.7,525.7,523.1,2.6,0.5,9523.0,9.523,2023-08-01
600654.SH,1991-01-10,401.7,401.7,401.7,401.7,399.7,2.0,0.5,253.0,101.0,2023-08-01
000005.SZ,1991-01-10,17.58,17.58,17.58,17.58,17.67,-0.09,-0.51,13.0,114.0,2023-08-01
600601.SH,1991-01-10,253.6,253.6,253.6,253.6,252.3,1.3,0.52,60.0,60.0,2023-08-01
600653.SH,1991-01-11,331.1,331.1,331.1,331.1,329.5,1.6,0.49,119.0,0.119,2023-08-01
600656.SH,1991-01-11,3.16,3.16,3.16,3.16,3.15,0.01,0.32,12.0,3.0,2023-08-01
600651.SH,1991-01-11,415.6,415.6,415.6,415.6,417.7,-2.1,-0.5,1.0,0.002,2023-08-01
600602.SH,1991-01-11,528.3,528.3,528.3,528.3,525.7,2.6,0.49,12304.0,12.304,2023-08-01
600654.SH,1991-01-11,403.7,403.7,403.7,403.7,401.7,2.0,0.5,544.0,219.0,2023-08-01
600652.SH,1991-01-11,211.9,211.9,211.9,211.9,210.8,1.1,0.52,13.0,11.0,2023-08-01
000005.SZ,1991-01-11,17.45,17.45,17.45,17.45,17.58,-0.13,-0.74,1.0,9.0,2023-08-01
600601.SH,1991-01-11,254.9,254.9,254.9,254.9,253.6,1.3,0.51,334.0,340.0,2023-08-01
600653.SH,1991-01-14,332.8,332.8,332.8,332.8,331.1,1.7,0.51,20.0,0.02,2023-08-01
600651.SH,1991-01-14,413.5,413.5,413.5,413.5,415.6,-2.1,-0.51,6.0,0.013,2023-08-01
600602.SH,1991-01-14,530.9,530.9,525.7,528.3,528.3,0.0,0.0,11013.0,11.013,2023-08-01
600654.SH,1991-01-14,405.7,405.7,405.7,405.7,403.7,2.0,0.5,477.0,193.0,2023-08-01
600652.SH,1991-01-14,213.0,213.0,213.0,213.0,211.9,1.1,0.52,8.0,6.0,2023-08-01
000005.SZ,1991-01-14,17.31,17.31,17.31,17.31,17.4,-0.09,-0.52,1.0,9.0,2023-08-01
000004.SZ,1991-01-14,15.98,15.98,15.98,15.98,16.06,-0.08,-0.5,1.0,8.0,2023-08-01
600601.SH,1991-01-14,256.2,256.2,256.2,256.2,254.9,1.3,0.51,601.0,615.0,2023-08-01
600653.SH,1991-01-15,334.5,334.5,334.5,334.5,332.8,1.7,0.51,15.0,0.015,2023-08-01
600602.SH,1991-01-15,525.7,528.3,525.7,528.3,528.3,0.0,0.0,171.0,0.171,2023-08-01
600654.SH,1991-01-15,407.7,407.7,405.7,407.7,405.7,2.0,0.49,516.0,210.0,2023-08-01
600652.SH,1991-01-15,214.1,214.1,214.1,214.1,213.0,1.1,0.52,24.0,20.0,2023-08-01
000004.SZ,1991-01-15,15.9,15.9,15.9,15.9,15.98,-0.08,-0.5,1.0,8.0,2023-08-01
000005.SZ,1991-01-15,17.22,17.22,17.22,17.22,17.31,-0.09,-0.52,3.0,26.0,2023-08-01
600601.SH,1991-01-15,257.5,257.5,254.9,256.2,256.2,0.0,0.0,602.0,618.0,2023-08-01
600653.SH,1991-01-16,336.2,336.2,336.2,336.2,334.5,1.7,0.51,55.0,0.055,2023-08-01
600656.SH,1991-01-16,3.18,3.18,3.18,3.18,3.16,0.02,0.63,70.0,22.0,2023-08-01
600602.SH,1991-01-16,525.7,530.9,525.7,525.7,528.3,-2.6,-0.49,194.0,0.194,2023-08-01
600654.SH,1991-01-16,407.0,407.7,405.7,407.7,407.7,0.0,0.0,102.0,41.0,2023-08-01
600652.SH,1991-01-16,215.2,215.2,215.2,215.2,214.1,1.1,0.51,26.0,21.0,2023-08-01
000005.SZ,1991-01-16,17.13,17.13,17.13,17.13,17.22,-0.09,-0.52,1.0,8.0,2023-08-01
600601.SH,1991-01-16,254.9,256.2,254.9,256.2,256.2,0.0,0.0,62.0,63.0,2023-08-01
600653.SH,1991-01-17,337.9,337.9,334.5,336.2,336.2,0.0,0.0,192.0,0.192,2023-08-01
600656.SH,1991-01-17,3.2,3.2,3.2,3.2,3.18,0.02,0.63,46.0,14.0,2023-08-01
600602.SH,1991-01-17,523.1,525.7,523.1,525.7,525.7,0.0,0.0,122.0,0.122,2023-08-01
600654.SH,1991-01-17,405.7,405.7,405.7,405.7,407.7,-2.0,-0.49,48.0,19.0,2023-08-01
600652.SH,1991-01-17,216.3,216.3,216.3,216.3,215.2,1.1,0.51,48.0,41.0,2023-08-01
000004.SZ,1991-01-17,15.74,15.74,15.74,15.74,15.9,-0.16,-1.01,1.0,8.0,2023-08-01
000005.SZ,1991-01-17,17.04,17.04,17.04,17.04,17.13,-0.09,-0.53,4.0,34.0,2023-08-01
600601.SH,1991-01-17,254.9,256.2,254.9,254.9,256.2,-1.3,-0.51,38.0,38.0,2023-08-01
600653.SH,1991-01-18,334.5,334.5,334.5,334.5,336.2,-1.7,-0.51,228.0,0.228,2023-08-01
600656.SH,1991-01-18,3.21,3.21,3.21,3.21,3.2,0.01,0.31,70.0,22.0,2023-08-01
600651.SH,1991-01-18,411.4,413.5,411.4,413.5,413.5,0.0,0.0,6.0,0.011,2023-08-01
600602.SH,1991-01-18,523.1,525.7,523.1,525.7,525.7,0.0,0.0,2460.0,2.46,2023-08-01
600654.SH,1991-01-18,403.7,403.7,403.7,403.7,405.7,-2.0,-0.49,108.0,43.0,2023-08-01
600652.SH,1991-01-18,217.4,217.4,217.4,217.4,216.3,1.1,0.51,12.0,10.0,2023-08-01
600601.SH,1991-01-18,253.6,254.25,253.6,254.25,254.9,-0.65,-0.26,120.0,121.0,2023-08-01
600653.SH,1991-01-21,336.2,336.2,336.2,336.2,334.5,1.7,0.51,152.0,3.362,2023-08-01
600656.SH,1991-01-21,3.23,3.23,3.23,3.23,3.21,0.02,0.62,55.0,17.0,2023-08-01
600602.SH,1991-01-21,523.1,525.7,523.1,525.7,525.7,0.0,0.0,1803.0,1.803,2023-08-01
600654.SH,1991-01-21,401.7,401.7,401.7,401.7,403.7,-2.0,-0.5,41.0,16.0,2023-08-01
000005.SZ,1991-01-21,16.79,16.79,16.79,16.79,16.87,-0.08,-0.47,1.0,8.0,2023-08-01
600653.SH,1991-01-22,337.9,337.9,337.9,337.9,336.2,1.7,0.51,50.0,0.05,2023-08-01
600656.SH,1991-01-22,3.24,3.24,3.24,3.24,3.23,0.01,0.31,50.0,16.0,2023-08-01
600602.SH,1991-01-22,523.1,523.15,523.1,523.1,525.7,-2.6,-0.49,204.0,0.204,2023-08-01
